,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
115,"[1, 1, 1, 0, 1, 0, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 1, 2]]",3,-7,2
116,"[1, 1, 1, 0, 1, 0, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
117,"[1, 1, 1, 0, 1, 1, 0]",True,1,[True],[True],[1],[[6]],"[[0, 1, 0, 2, 1, 2]]",0,6,0
118,"[1, 1, 1, 0, 1, 1, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
119,"[1, 1, 1, 1, 0, 0, 0]",False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, 0, 0]","[[0, 1, 0, 1], [1, 0, 1, 0], [0, 1, -1, 1], [1, 0, 1, -1]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 1, 0, 1], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",10,-1,5
120,"[1, 1, 1, 1, 0, 0, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
121,"[1, 1, 1, 1, 0, 1, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[3, 2], [2, -1]]","[[0, 0, 2, 0, 2, 1], [1, 0, 0, 0, 0, 0]]",4,-7,2
122,"[1, 1, 1, 1, 0, 1, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[2, 2], [2, 0]]","[[0, 0, 1, 0, 2, 1], [0, 0, 0, 1, 0, 1]]",2,-4,1
123,"[1, 1, 1, 1, 1, 0, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 1, 2]]",3,-7,2
124,"[1, 1, 1, 1, 1, 0, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[0, 2], [2, 2]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 1, 1, 2]]",1,-4,1
